dst,dst_ip,num_ports,num_connections,num_syn,num_rst
391091216,23.79.148.16,1,42,4,2
2259303101,134.170.58.189,1,55,3,2
391089575,23.79.141.167,1,29,3,2
387402356,23.23.74.116,2,34,3,2
1611768674,96.17.163.98,1,221,3,2
840084784,50.18.173.48,1,8,2,2
2915192220,173.194.77.156,1,24,2,2
3232238953,192.168.13.105,1,19,2,2
3342570953,199.59.149.201,1,26,2,2
3090405145,184.51.215.25,1,22,2,2
1219899254,72.182.47.118,1,40,2,2
1796602522,107.21.250.154,1,8,2,2
3342570982,199.59.149.230,1,1262,2,2
1796536774,107.20.249.198,1,12,1,2
1822466636,108.160.162.76,1,17,1,2
921149792,54.231.161.96,1,13,1,2
921911642,54.243.65.90,1,16,1,2
919968661,54.213.155.149,1,19,1,2
1822467988,108.160.167.148,1,16,1,2
1796536598,107.20.249.22,1,14,1,2
391089048,23.79.139.152,1,16,1,2
921964837,54.244.17.37,1,39,1,2
3627735075,216.58.216.35,1,6,1,2
3342570952,199.59.149.200,1,22,1,2
3090406897,184.51.221.241,1,12,1,2
3342570508,199.59.148.12,1,21,1,2
921480482,54.236.173.34,1,14,1,2
1796536642,107.20.249.66,1,15,1,2
3632868244,216.137.43.148,1,13,1,2
301545979,17.249.57.251,1,14,1,2
391088313,23.79.136.185,1,28,1,2
3624994960,216.17.8.144,1,40,1,2
1822467594,108.160.166.10,1,17,1,2
1796536716,107.20.249.140,1,13,1,2
3342571019,199.59.150.11,1,135,1,2
1822467466,108.160.165.138,1,12,1,2
3091841862,184.73.195.70,1,14,1,2
391089046,23.79.139.150,1,15,1,2
3342571047,199.59.150.39,1,34,0,2
292480159,17.110.228.159,1,15,0,2
292479843,17.110.227.99,1,7,0,2
1266563987,75.126.59.147,1,27,0,2
1611663178,96.16.7.74,1,4,0,2
920510938,54.221.225.218,3,10889,933,1
173693445,10.90.90.5,379,5190,314,1
2259335305,134.170.184.137,3,306,280,1
178939157,10.170.101.21,324,5240,269,1
2886755581,172.16.100.253,173,2055,201,1
173693645,10.90.90.205,6,3757,192,1
173693546,10.90.90.106,3,2421,191,1
173693547,10.90.90.107,3,2474,185,1
174351470,10.100.100.110,9,2078,161,1
174351469,10.100.100.109,10,1941,160,1
2886755465,172.16.100.137,144,1989,148,1
178267475,10.160.37.83,163,1690,137,1
176439383,10.132.64.87,166,3139,136,1
1094188075,65.55.252.43,1,255,133,1
3232245721,192.168.39.217,152,1612,133,1
179633256,10.180.252.104,158,3222,131,1
178957163,10.170.171.107,146,1642,115,1
2382639021,142.4.47.173,1,2909,64,1
3232300027,192.168.251.251,94,1092,41,1
1094188124,65.55.252.92,1,32,24,1
3232300028,192.168.251.252,81,1349456,23,1
178290623,10.160.127.191,1,95,19,1
2259336332,134.170.188.140,2,166,13,1
1074017859,64.4.54.67,1,48,12,1
391088865,23.79.138.225,2,165,12,1
175753252,10.121.200.36,27,960,10,1
3354736316,199.245.54.188,1,139,9,1
1611768587,96.17.163.11,1,64,9,1
209834567,12.129.210.71,1,43,8,1
3220103318,191.238.224.150,1,28,8,1
3223256192,192.30.252.128,2,116,7,1
1753369895,104.130.77.39,1,185,7,1
1607929875,95.215.16.19,2,50,6,1
917479750,54.175.161.70,1,25881,6,1
3427780043,204.79.197.203,2,150,6,1
3227453468,192.95.8.28,1,90,6,1
1177166321,70.42.33.241,1,22,5,1
3338456592,198.252.206.16,2,57,5,1
1796602589,107.21.250.221,1,20,4,1
1611768595,96.17.163.19,1,31,4,1
919102706,54.200.100.242,1,26,3,1
919951032,54.213.86.184,1,27,3,1
209831782,12.129.199.102,2,13,3,1
1153585755,68.194.82.91,1,77,3,1
1145274760,68.67.129.136,1,20,3,1
2372235835,141.101.114.59,1,116,2,1
1209359217,72.21.91.113,2,44,2,1
2732180505,162.217.196.25,1,12,2,1
3223256200,192.30.252.136,1,23,2,1
3494345154,208.71.121.194,1,18,2,1
391086936,23.79.131.88,1,11,2,1
1633007340,97.85.182.236,1,656,2,1
2900737930,172.229.191.138,1,13,2,1
1138340158,67.217.177.62,1,11,2,1
921765875,54.241.7.243,1,9,2,1
3422566067,204.0.54.179,1,24,2,1
2637729138,157.56.141.114,1,17,2,1
918201849,54.186.165.249,1,8,2,1
391086631,23.79.130.39,2,50,2,1
405651316,24.45.191.116,1,87,1,1
2230669874,132.245.82.50,1,2,1,1
3342570507,199.59.148.11,1,8,1,1
1822467517,108.160.165.189,1,11,1,1
2637718626,157.56.100.98,1,15,1,1
391013080,23.78.98.216,1,20,1,1
2259303037,134.170.58.125,1,8,1,1
391088771,23.79.138.131,1,21,1,1
1115132094,66.119.144.190,1,8,1,1
1135628917,67.176.82.117,1,73,1,1
1158946605,69.20.31.45,1,5,1,1
915675500,54.148.25.108,1,2,1,1
3342571054,199.59.150.46,1,455,1,1
2732468237,162.222.40.13,1,39,1,1
919667589,54.209.3.133,1,43,1,1
1611768632,96.17.163.56,1,375,1,1
1613152234,96.38.191.234,1,27,1,1
919152852,54.201.40.212,1,2,1,1
1401800601,83.141.199.153,1,565,1,1
919961097,54.213.126.9,1,2,1,1
3342570580,199.59.148.84,1,21,1,1
295574564,17.158.28.36,1,14,1,1
2915062466,173.192.82.194,1,123,0,1
642859652,38.81.66.132,1,9,0,1
845018808,50.93.246.184,1,9,0,1
3624994931,216.17.8.115,1,9,0,1
1822468006,108.160.167.166,1,10,0,1
1249713852,74.125.30.188,2,3,0,1
1539136573,91.189.92.61,1,15,0,1
168430081,10.10.10.1,1074,50858,50843,0
169088001,10.20.20.1,1001,24227,24211,0
173035521,10.80.80.1,1000,23828,23812,0
172377601,10.70.70.1,1001,22272,22253,0
171719681,10.60.60.1,1000,22078,22068,0
170403841,10.40.40.1,1001,21610,21597,0
171061761,10.50.50.1,1000,21448,21438,0
173693441,10.90.90.1,1000,21096,21088,0
3232299560,192.168.250.40,1,176020,10959,0
3232299600,192.168.250.80,1,175935,10958,0
3232299570,192.168.250.50,1,175174,10906,0
3232299580,192.168.250.60,1,174926,10894,0
3232299610,192.168.250.90,1,174739,10885,0
3232299620,192.168.250.100,1,174592,10882,0
3232299540,192.168.250.20,1,174722,10877,0
3232299550,192.168.250.30,1,174523,10869,0
3232299530,192.168.250.10,1,174504,10866,0
3232299590,192.168.250.70,1,174586,10865,0
169745921,10.30.30.1,1002,9208,9185,0
170403840,10.40.40.0,6,5345,5339,0
173035772,10.80.80.252,1001,4011,3967,0
175702017,10.121.0.1,1104,2408,2302,0
2886745090,172.16.60.2,1000,2110,2109,0
169088112,10.20.20.112,1012,32349,2071,0
169088025,10.20.20.25,991,2276,2070,0
169088066,10.20.20.66,1004,2214,2063,0
169088074,10.20.20.74,1004,2210,2060,0
169088067,10.20.20.67,1004,2211,2060,0
169088071,10.20.20.71,1004,2211,2060,0
169088075,10.20.20.75,1004,2211,2059,0
169088078,10.20.20.78,1004,2210,2058,0
169088068,10.20.20.68,1004,2208,2058,0
169088073,10.20.20.73,1004,2208,2056,0
169088077,10.20.20.77,1004,2207,2056,0
169088072,10.20.20.72,1004,2206,2055,0
169088009,10.20.20.9,1000,2199,2055,0
169088099,10.20.20.99,1004,2202,2053,0
169088065,10.20.20.65,1004,2205,2053,0
169088106,10.20.20.106,1004,2203,2052,0
169088089,10.20.20.89,1004,2201,2052,0
169088119,10.20.20.119,1004,2201,2052,0
169088105,10.20.20.105,1004,2202,2052,0
169088095,10.20.20.95,1004,2201,2052,0
169088097,10.20.20.97,1004,2201,2051,0
169088091,10.20.20.91,1004,2201,2051,0
169088081,10.20.20.81,1004,2201,2050,0
169088076,10.20.20.76,1004,2201,2050,0
169088126,10.20.20.126,1004,2200,2050,0
169088123,10.20.20.123,1004,2200,2050,0
169088008,10.20.20.8,998,2191,2048,0
169088122,10.20.20.122,1004,2198,2048,0
169088115,10.20.20.115,1004,2199,2048,0
169088116,10.20.20.116,1003,2196,2048,0
169088092,10.20.20.92,1004,2198,2047,0
169088085,10.20.20.85,1004,2197,2047,0
169088096,10.20.20.96,1002,2198,2047,0
169088114,10.20.20.114,1004,2198,2047,0
169088104,10.20.20.104,1004,2196,2047,0
169088011,10.20.20.11,997,2195,2046,0
169088070,10.20.20.70,1003,2197,2046,0
